RepRapFirmware height map file v2 generated at 2021-05-24 19:23, min error -0.688, max error 0.245, mean -0.080, deviation 0.084
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,9.00,309.00,46.00,306.00,-1.00,30.00,26.00,11,11
 -0.057, -0.037, -0.082, -0.128, -0.140, -0.182, -0.145, -0.115, -0.095, -0.070, -0.090
 -0.045, -0.025, -0.095, -0.092, -0.120, -0.120, -0.142, -0.112, -0.070, -0.045, -0.067
 -0.032, -0.035, -0.095, -0.112, -0.102, -0.120, -0.132, -0.102, -0.080, -0.047, -0.052
 -0.055, -0.027, -0.085, -0.102, -0.112, -0.115, -0.112, -0.082, -0.100, -0.032, -0.060
 -0.035, -0.035, -0.065, -0.080, -0.117, -0.075, -0.128, -0.092, -0.110, -0.050, -0.030
 -0.007, -0.003, -0.043, -0.097, -0.117, -0.140, -0.135, -0.115, -0.115, -0.052, -0.025
 -0.007,  0.028, -0.070, -0.122, -0.135, -0.155, -0.157, -0.122, -0.117, -0.057, -0.037
  0.038,  0.055, -0.062, -0.120, -0.135, -0.172, -0.168, -0.145, -0.125, -0.067, -0.052
  0.010,  0.040, -0.032, -0.067, -0.085, -0.168, -0.170, -0.142, -0.105, -0.067, -0.060
  0.013,  0.000, -0.057, -0.047,  0.058, -0.095, -0.160, -0.152, -0.132, -0.077, -0.065
  0.095,  0.020, -0.015, -0.010,  0.245,  0.070, -0.125, -0.110, -0.107, -0.075, -0.688
