RepRapFirmware height map file v2 generated at 2021-06-06 00:46, min error -0.125, max error 0.363, mean 0.002, deviation 0.067
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,19.00,305.00,3.00,303.00,-1.00,28.60,30.00,11,11
 -0.007, -0.062, -0.082, -0.102, -0.120, -0.117, -0.125, -0.097, -0.082, -0.070, -0.050
 -0.045, -0.065, -0.062, -0.075, -0.102, -0.090, -0.090, -0.070, -0.035, -0.045, -0.027
 -0.047, -0.040, -0.047, -0.035, -0.055, -0.050, -0.060, -0.030, -0.015,  0.013,  0.023
 -0.017, -0.027, -0.047, -0.045, -0.040, -0.025, -0.065, -0.035, -0.027,  0.005,  0.000
  0.015,  0.005, -0.012, -0.017, -0.015,  0.008, -0.025, -0.005, -0.007,  0.015,  0.028
  0.045,  0.018,  0.023, -0.010, -0.020,  0.008, -0.040, -0.012, -0.025, -0.002,  0.035
  0.045,  0.062,  0.045,  0.023, -0.002,  0.003, -0.012,  0.008,  0.003,  0.035,  0.040
  0.135,  0.095,  0.058,  0.030,  0.013,  0.003, -0.020,  0.008,  0.000,  0.020,  0.028
  0.162,  0.123,  0.090,  0.065,  0.030,  0.010, -0.007,  0.005,  0.015,  0.040,  0.028
  0.088,  0.090,  0.048,  0.113,  0.135, -0.002, -0.040, -0.005, -0.002,  0.040,  0.013
  0.120,  0.093,  0.048,  0.170,  0.363,  0.125, -0.030, -0.012, -0.022, -0.025,  0.018
