RepRapFirmware height map file v2 generated at 2021-06-05 23:50, min error -0.150, max error 0.340, mean -0.016, deviation 0.067
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,19.00,305.00,3.00,303.00,-1.00,28.60,30.00,11,11
 -0.035, -0.090, -0.115, -0.127, -0.140, -0.135, -0.150, -0.122, -0.092, -0.075, -0.043
 -0.040, -0.080, -0.070, -0.085, -0.115, -0.107, -0.115, -0.082, -0.055, -0.053, -0.022
 -0.047, -0.055, -0.062, -0.057, -0.075, -0.075, -0.075, -0.043, -0.027,  0.010,  0.023
 -0.030, -0.043, -0.057, -0.062, -0.060, -0.047, -0.085, -0.055, -0.032,  0.003,  0.003
  0.013, -0.012, -0.030, -0.043, -0.037, -0.020, -0.050, -0.020, -0.020,  0.008,  0.028
  0.030, -0.002,  0.005, -0.032, -0.047, -0.010, -0.057, -0.027, -0.040, -0.005,  0.035
  0.030,  0.043,  0.018, -0.007, -0.035, -0.027, -0.053, -0.027, -0.027,  0.015,  0.033
  0.115,  0.085,  0.045, -0.002, -0.015, -0.027, -0.055, -0.032, -0.037,  0.003,  0.005
  0.143,  0.108,  0.062,  0.035,  0.000, -0.010, -0.035, -0.027, -0.002,  0.020,  0.008
  0.078,  0.070,  0.033,  0.085,  0.118, -0.032, -0.057, -0.025, -0.025,  0.030,  0.000
  0.115,  0.080,  0.040,  0.145,  0.340,  0.088, -0.050, -0.027, -0.035, -0.030,  0.013
